City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Enshi,CN,77.81,overcast clouds,30.3,109.4833,Moevenpick Enshi
441,Nanakuli,US,83.57,scattered clouds,21.3906,-158.1547,Camp Pālehua
443,Sabaudia,IT,75.78,clear sky,41.3003,13.0282,Oasi di Kufra
445,Alyangula,AU,79.9,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
446,Kapoeta,SS,76.21,scattered clouds,4.7717,33.5903,Eastgate Hotel
447,Bandarbeyla,SO,77.4,overcast clouds,9.4942,50.8122,JABIR HOTEL
449,Nabire,ID,81.03,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
451,Caucaia,BR,75.15,light rain,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
462,Bahia Honda,CU,77.81,scattered clouds,22.9036,-83.1592,Casa Gualberto - Deysi
463,Pala,TD,76.03,overcast clouds,9.3642,14.9046,Hotel Pala Palace
465,Raxaul,IN,87.12,clear sky,26.9833,84.85,R S Residency
466,Naze,JP,79.88,clear sky,28.3667,129.4833,Shishime Hotel
468,Along,IN,76.73,overcast clouds,28.1667,94.7667,Hotel West
471,Venice,US,86.02,overcast clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
479,Saint-Georges,GD,79.09,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
484,Satun,TH,78.8,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
485,Buraydah,SA,84.34,light rain,26.326,43.975,Mövenpick Qassim
488,Male,MV,82.9,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
489,Khunti,IN,75.67,broken clouds,23.0833,85.2833,Mohan sharma house
